Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,NO,01/01/2010 00:00,11.80000,ug m-3,R
CT3,NO,01/01/2010 00:15,11.40000,ug m-3,R
CT3,NO,01/01/2010 00:30,9.60000,ug m-3,R
CT3,NO,01/01/2010 00:45,12.10000,ug m-3,R
CT3,NO,01/01/2010 01:00,12.10000,ug m-3,R
CT3,NO,01/01/2010 01:15,8.30000,ug m-3,R
CT3,NO,01/01/2010 01:30,8.00000,ug m-3,R
CT3,NO,01/01/2010 01:45,9.00000,ug m-3,R
CT3,NO,01/01/2010 02:00,11.10000,ug m-3,R
CT3,NO,01/01/2010 02:15,9.60000,ug m-3,R
CT3,NO,01/01/2010 02:30,8.70000,ug m-3,R
CT3,NO,01/01/2010 02:45,8.80000,ug m-3,R
CT3,NO,01/01/2010 03:00,10.50000,ug m-3,R
CT3,NO,01/01/2010 03:15,7.60000,ug m-3,R
CT3,NO,01/01/2010 03:30,8.40000,ug m-3,R
CT3,NO,01/01/2010 03:45,8.60000,ug m-3,R
CT3,NO,01/01/2010 04:00,8.60000,ug m-3,R
CT3,NO,01/01/2010 04:15,9.40000,ug m-3,R
CT3,NO,01/01/2010 04:30,8.50000,ug m-3,R
CT3,NO,01/01/2010 04:45,7.90000,ug m-3,R
CT3,NO,01/01/2010 05:00,7.50000,ug m-3,R
CT3,NO,01/01/2010 05:15,9.30000,ug m-3,R
CT3,NO,01/01/2010 05:30,8.50000,ug m-3,R
CT3,NO,01/01/2010 05:45,8.00000,ug m-3,R
CT3,NO,01/01/2010 06:00,8.40000,ug m-3,R
CT3,NO,01/01/2010 06:15,10.50000,ug m-3,R
CT3,NO,01/01/2010 06:30,8.80000,ug m-3,R
CT3,NO,01/01/2010 06:45,9.50000,ug m-3,R
CT3,NO,01/01/2010 07:00,8.70000,ug m-3,R
CT3,NO,01/01/2010 07:15,9.20000,ug m-3,R
CT3,NO,01/01/2010 07:30,8.10000,ug m-3,R
CT3,NO,01/01/2010 07:45,8.50000,ug m-3,R
CT3,NO,01/01/2010 08:00,7.80000,ug m-3,R
CT3,NO,01/01/2010 08:15,8.60000,ug m-3,R
CT3,NO,01/01/2010 08:30,8.70000,ug m-3,R
CT3,NO,01/01/2010 08:45,9.50000,ug m-3,R
CT3,NO,01/01/2010 09:00,9.60000,ug m-3,R
CT3,NO,01/01/2010 09:15,14.40000,ug m-3,R
CT3,NO,01/01/2010 09:30,12.70000,ug m-3,R
CT3,NO,01/01/2010 09:45,11.40000,ug m-3,R
CT3,NO,01/01/2010 10:00,9.80000,ug m-3,R
CT3,NO,01/01/2010 10:15,10.40000,ug m-3,R
CT3,NO,01/01/2010 10:30,10.70000,ug m-3,R
CT3,NO,01/01/2010 10:45,10.60000,ug m-3,R
CT3,NO,01/01/2010 11:00,10.60000,ug m-3,R
CT3,NO,01/01/2010 11:15,10.70000,ug m-3,R
CT3,NO,01/01/2010 11:30,10.40000,ug m-3,R
CT3,NO,01/01/2010 11:45,10.80000,ug m-3,R
CT3,NO,01/01/2010 12:00,10.90000,ug m-3,R
CT3,NO,01/01/2010 12:15,9.50000,ug m-3,R
CT3,NO,01/01/2010 12:30,9.90000,ug m-3,R
CT3,NO,01/01/2010 12:45,9.70000,ug m-3,R
CT3,NO,01/01/2010 13:00,9.50000,ug m-3,R
CT3,NO,01/01/2010 13:15,9.50000,ug m-3,R
CT3,NO,01/01/2010 13:30,14.80000,ug m-3,R
CT3,NO,01/01/2010 13:45,14.30000,ug m-3,R
CT3,NO,01/01/2010 14:00,10.70000,ug m-3,R
CT3,NO,01/01/2010 14:15,11.20000,ug m-3,R
CT3,NO,01/01/2010 14:30,12.20000,ug m-3,R
CT3,NO,01/01/2010 14:45,11.70000,ug m-3,R
CT3,NO,01/01/2010 15:00,16.70000,ug m-3,R
CT3,NO,01/01/2010 15:15,10.30000,ug m-3,R
CT3,NO,01/01/2010 15:30,10.80000,ug m-3,R
CT3,NO,01/01/2010 15:45,10.80000,ug m-3,R
CT3,NO,01/01/2010 16:00,9.20000,ug m-3,R
CT3,NO,01/01/2010 16:15,11.50000,ug m-3,R
CT3,NO,01/01/2010 16:30,16.00000,ug m-3,R
CT3,NO,01/01/2010 16:45,13.30000,ug m-3,R
CT3,NO,01/01/2010 17:00,15.60000,ug m-3,R
CT3,NO,01/01/2010 17:15,17.50000,ug m-3,R
CT3,NO,01/01/2010 17:30,18.60000,ug m-3,R
CT3,NO,01/01/2010 17:45,20.60000,ug m-3,R
CT3,NO,01/01/2010 18:00,18.00000,ug m-3,R
CT3,NO,01/01/2010 18:15,17.80000,ug m-3,R
CT3,NO,01/01/2010 18:30,24.30000,ug m-3,R
CT3,NO,01/01/2010 18:45,21.70000,ug m-3,R
CT3,NO,01/01/2010 19:00,22.20000,ug m-3,R
CT3,NO,01/01/2010 19:15,20.10000,ug m-3,R
CT3,NO,01/01/2010 19:30,26.10000,ug m-3,R
CT3,NO,01/01/2010 19:45,25.30000,ug m-3,R
CT3,NO,01/01/2010 20:00,23.30000,ug m-3,R
CT3,NO,01/01/2010 20:15,29.70000,ug m-3,R
CT3,NO,01/01/2010 20:30,36.60000,ug m-3,R
CT3,NO,01/01/2010 20:45,32.20000,ug m-3,R
CT3,NO,01/01/2010 21:00,31.70000,ug m-3,R
CT3,NO,01/01/2010 21:15,29.40000,ug m-3,R
CT3,NO,01/01/2010 21:30,32.80000,ug m-3,R
CT3,NO,01/01/2010 21:45,29.40000,ug m-3,R
CT3,NO,01/01/2010 22:00,27.60000,ug m-3,R
CT3,NO,01/01/2010 22:15,32.70000,ug m-3,R
CT3,NO,01/01/2010 22:30,33.60000,ug m-3,R
CT3,NO,01/01/2010 22:45,33.40000,ug m-3,R
CT3,NO,01/01/2010 23:00,29.70000,ug m-3,R
